Date,Close,Volume,Open,High,Low
11/06/2024,306.90,5874885,305.00,308.56,303.07
11/05/2024,297.49,4456064,297.44,298.81,294.74
11/04/2024,298.01,5108329,297.99,300.18,292.92
11/01/2024,294.72,3527502,290.23,296.99,290.00
10/31/2024,291.37,4301838,292.60,296.09,289.55
10/30/2024,296.40,2826545,297.07,299.54,296.35
10/29/2024,298.89,4280743,294.00,300.595,292.81
10/28/2024,293.77,3867816,293.60,296.07,292.49
10/25/2024,290.46,3351560,290.00,294.38,288.83
10/24/2024,286.76,3210656,286.56,288.91,285.18
10/23/2024,284.43,3227071,287.73,288.3032,282.6176
10/22/2024,288.33,3100125,289.75,291.942,287.65
10/21/2024,291.29,2712571,289.00,292.92,288.04
10/18/2024,292.94,3087902,292.04,294.71,290.15
10/17/2024,291.11,2830025,291.96,293.34,290.10
10/16/2024,290.86,3496969,287.55,290.92,284.23
10/15/2024,288.35,3850782,293.46,293.58,288.0004
10/14/2024,291.64,3642540,289.92,292.4499,288.25
10/11/2024,288.10,3597035,289.21,290.24,286.30
10/10/2024,290.17,3965512,287.92,290.23,284.62
10/09/2024,287.92,4850952,290.82,291.57,287.08
10/08/2024,291.57,5211209,286.00,292.63,284.1035
10/07/2024,284.57,4794652,286.58,288.17,283.38
10/04/2024,287.75,6131284,283.86,287.89,281.47
10/03/2024,280.91,3868447,278.99,281.12,277.73
10/02/2024,279.48,8512272,273.72,282.00,270.8517
10/01/2024,270.87,4369918,274.14,274.70,269.69
09/30/2024,273.71,5062226,273.95,275.74,269.14
09/27/2024,276.64,5220075,276.26,277.84,275.0601
09/26/2024,275.76,5253376,276.13,278.64,272.71
09/25/2024,274.09,7920044,270.45,277.05,269.384
09/24/2024,270.44,7154459,269.83,272.46,266.29
09/23/2024,264.21,6033986,267.25,268.06,262.24
09/20/2024,266.80,11463170,266.01,270.32,261.32
09/19/2024,265.99,11022830,260.72,269.54,258.05
09/18/2024,252.43,4436734,256.00,256.12,250.96
09/17/2024,255.19,5423388,258.72,259.37,254.76
09/16/2024,256.91,5367024,254.57,257.81,254.57
09/13/2024,254.57,4998901,252.54,256.83,252.445
09/12/2024,253.37,5221397,251.39,254.14,249.57
09/11/2024,249.57,4822215,244.81,250.02,242.0141
09/10/2024,246.16,3544808,247.13,247.34,243.311
09/09/2024,245.76,4588809,246.50,249.36,244.77
09/06/2024,243.97,6259431,247.74,250.00,241.4401
09/05/2024,246.12,4083624,245.98,248.4999,245.00
09/04/2024,247.68,4706546,246.47,249.48,245.16
09/03/2024,248.06,6190352,252.62,253.69,246.64
08/30/2024,252.90,10507700,257.44,259.13,251.00
08/29/2024,257.01,14301690,271.01,271.95,256.28
08/28/2024,258.90,10981900,261.83,265.18,257.36
08/27/2024,264.20,5276384,259.65,264.46,259.40
08/26/2024,265.28,3818271,263.94,267.30,263.24
08/23/2024,264.00,4711326,261.99,265.60,260.70
08/22/2024,258.59,5111442,261.50,263.26,257.27
08/21/2024,261.09,4648204,261.10,262.14,259.18
08/20/2024,261.84,5731309,264.95,265.50,261.03
08/19/2024,265.38,4501262,263.10,265.39,261.63
08/16/2024,262.91,3494863,261.75,263.60,259.68
08/15/2024,262.79,5167930,257.90,262.89,256.24
08/14/2024,255.32,4145248,255.39,257.71,253.86
08/13/2024,254.60,4031818,253.00,255.78,253.00
