Date,Close,Volume,Open,High,Low
11/06/2024,181.24,11084990,178.52,182.10,177.4153
11/05/2024,171.78,5456754,170.47,171.89,170.32
11/04/2024,169.59,4804405,170.31,170.48,168.73
11/01/2024,170.02,5680595,170.15,172.27,169.10
10/31/2024,167.84,9477476,170.52,170.88,167.3975
10/30/2024,174.56,5822451,173.98,176.16,172.79
10/29/2024,173.43,4122913,172.29,174.0231,172.29
10/28/2024,172.42,4329971,174.045,174.17,172.135
10/25/2024,173.52,3674717,174.78,176.29,173.10
10/24/2024,174.38,3488036,173.315,174.9542,172.91
10/23/2024,173.10,4830414,174.50,176.07,173.01
10/22/2024,175.31,5510114,175.45,175.85,174.28
10/21/2024,173.76,4198362,174.45,175.15,173.16
10/18/2024,174.69,5001257,176.80,176.97,174.58
10/17/2024,175.68,5473951,177.50,177.75,175.14
10/16/2024,174.77,6383034,173.50,174.912,171.64
10/15/2024,174.09,5848630,176.94,178.2199,173.75
10/14/2024,176.12,4688662,176.55,177.22,175.50
10/11/2024,175.77,5869413,175.495,177.00,174.40
10/10/2024,175.41,7115887,177.65,178.30,174.1801
10/09/2024,178.29,8120894,174.56,178.61,173.81
10/08/2024,174.37,7845377,170.60,174.64,170.442
10/07/2024,169.97,6790956,170.42,172.33,169.55
10/04/2024,170.86,6389504,168.71,170.90,168.165
10/03/2024,166.86,4735708,166.89,167.86,166.24
10/02/2024,167.71,7073025,167.60,169.18,167.27
10/01/2024,167.16,7595053,170.22,170.51,165.97
09/30/2024,170.40,10218970,169.50,170.52,166.45
09/27/2024,168.74,8974377,168.09,169.1098,166.51
09/26/2024,168.10,7096842,167.65,168.36,166.48
09/25/2024,166.28,7142437,167.69,168.75,165.66
09/24/2024,165.80,6155076,165.74,166.10,163.92
09/23/2024,165.95,7916081,167.225,167.33,164.26
09/20/2024,168.00,12187740,167.13,168.83,166.60
09/19/2024,167.59,10075880,167.25,168.16,164.51
09/18/2024,164.53,12274410,167.62,167.62,163.73
09/17/2024,167.47,12580110,170.28,170.64,166.77
09/16/2024,170.33,27384370,164.99,173.99,164.51
09/13/2024,162.03,25727810,173.70,173.935,161.00
09/12/2024,161.38,16352050,159.04,162.34,157.90
09/11/2024,157.18,12630120,156.78,159.44,154.8401
09/10/2024,155.89,37374210,154.23,160.52,153.12
09/09/2024,139.89,20233430,142.49,143.30,139.51
09/06/2024,141.81,11154800,143.79,143.94,139.40
09/05/2024,142.61,8733246,141.40,143.28,140.305
09/04/2024,140.75,6243325,138.44,141.1009,137.95
09/03/2024,139.50,6831174,140.45,142.20,138.83
08/30/2024,141.29,7980679,140.33,141.72,140.095
08/29/2024,139.42,4588361,139.14,141.16,138.85
08/28/2024,137.88,3022639,138.83,138.95,136.91
08/27/2024,138.48,3872342,137.85,139.50,137.74
08/26/2024,138.90,2729605,139.39,139.40,138.19
08/23/2024,139.19,4544571,138.73,139.79,137.26
08/22/2024,138.08,5162189,140.70,141.08,137.65
08/21/2024,140.20,3776768,138.80,140.30,138.55
08/20/2024,139.17,3738261,137.82,139.79,137.82
08/19/2024,137.92,3641585,137.53,137.95,136.455
08/16/2024,137.47,4893787,136.79,137.82,136.39
08/15/2024,136.93,4698128,136.93,137.25,135.72
08/14/2024,135.60,4044630,134.04,135.97,134.01
