Date,Close,Volume,Open,High,Low
11/07/2024,360.71,2250537,358.00,362.00,356.29
11/06/2024,356.13,3009729,355.90,357.23,353.00
11/05/2024,345.49,1554297,342.79,347.4199,342.21
11/04/2024,343.90,1931315,345.26,346.6751,341.58
11/01/2024,345.67,2579809,346.94,347.9499,344.83
10/31/2024,344.82,3078198,344.63,347.86,342.62
10/30/2024,346.57,3916762,358.00,358.83,345.34
10/29/2024,363.04,2643029,360.91,365.08,359.05
10/28/2024,361.32,2717787,364.00,366.99,360.39
10/25/2024,360.80,2129390,364.00,365.445,359.5911
10/24/2024,364.23,2311975,367.50,373.44,363.75
10/23/2024,370.63,2211832,370.84,372.48,368.225
10/22/2024,371.79,1740279,374.62,374.86,371.13
10/21/2024,376.03,1785135,375.00,377.34,374.21
10/18/2024,376.86,1893296,375.51,377.33,373.65
10/17/2024,375.15,1906904,373.00,375.51,371.78
10/16/2024,372.26,2110724,365.69,372.87,364.88
10/15/2024,368.66,2956109,365.43,371.00,365.43
10/14/2024,364.60,2255799,361.58,365.62,361.1601
10/11/2024,360.74,1436631,362.52,363.40,360.06
10/10/2024,361.07,2088152,363.56,364.47,358.9101
10/09/2024,365.08,2046441,360.98,366.46,360.77
10/08/2024,360.38,2348284,359.53,360.65,357.52
10/07/2024,356.80,1536791,360.00,362.00,355.85
10/04/2024,362.24,2131552,364.20,367.79,359.8232
10/03/2024,361.24,3646268,359.55,364.45,359.325
10/02/2024,356.29,2421257,352.71,357.19,351.34
10/01/2024,351.98,1827309,354.99,354.99,349.90
09/30/2024,353.48,2425021,348.50,354.06,347.72
09/27/2024,349.70,2575382,356.33,358.34,349.30
09/26/2024,355.81,4454991,355.01,363.99,349.70
09/25/2024,337.05,3552701,335.14,339.75,334.16
09/24/2024,339.62,2842859,337.94,340.62,335.28
09/23/2024,339.21,1998526,337.38,339.44,334.05
09/20/2024,336.22,5231021,332.32,336.35,331.87
09/19/2024,335.24,2645896,340.00,340.38,332.23
09/18/2024,336.18,2150899,335.00,339.00,332.96
09/17/2024,337.04,4528964,355.10,355.28,336.31
09/16/2024,354.12,2536398,350.84,354.98,349.63
09/13/2024,349.58,1812013,351.10,351.4299,348.7945
09/12/2024,349.89,2182279,350.48,352.42,345.20
09/11/2024,350.31,2121785,346.36,350.72,342.24
09/10/2024,347.70,1655717,343.81,348.00,342.22
09/09/2024,341.81,1569422,340.63,342.25,339.09
09/06/2024,339.84,1613563,340.70,342.4432,336.76
09/05/2024,340.93,1195275,344.22,344.45,339.50
09/04/2024,343.99,1478410,340.00,344.91,338.98
09/03/2024,341.88,2049328,341.36,345.54,339.67
08/30/2024,341.95,2004144,341.00,343.45,338.64
08/29/2024,340.21,1612584,340.25,343.87,338.97
08/28/2024,337.39,1527981,340.56,343.60,335.11
08/27/2024,340.38,2154150,335.18,340.99,335.00
08/26/2024,336.78,1692174,333.08,337.21,331.77
08/23/2024,333.27,1518702,331.66,333.76,329.67
08/22/2024,330.57,1679226,333.89,334.07,329.65
08/21/2024,333.60,1233957,330.84,333.66,330.54
08/20/2024,330.37,1790106,329.93,330.57,328.05
08/19/2024,329.44,1678267,327.56,330.43,327.00
08/16/2024,326.92,2292799,324.91,327.705,323.27
08/15/2024,325.13,2271669,322.28,325.21,321.94
08/14/2024,319.83,1404627,320.00,322.07,318.02
08/13/2024,319.33,2269581,316.11,320.18,315.13
08/12/2024,313.96,2276546,315.47,317.4699,312.74
08/09/2024,315.83,1851305,316.20,317.32,313.2201
08/08/2024,315.88,2213725,315.30,319.51,314.47
08/07/2024,318.02,2327705,319.95,325.74,317.93
08/06/2024,318.68,2284261,317.00,322.66,315.72
08/05/2024,313.74,3186698,311.61,317.87,310.23
08/02/2024,323.15,2682736,324.99,326.68,320.35
08/01/2024,328.08,2538193,333.88,338.92,326.42
07/31/2024,330.62,2606401,331.64,333.93,329.042
07/30/2024,329.20,1985465,327.49,330.4499,326.95
07/29/2024,326.20,1629266,328.66,328.98,323.87
07/26/2024,328.46,2438247,325.92,329.81,325.211
07/25/2024,330.12,2764639,325.59,335.69,323.34
07/24/2024,328.68,3286450,329.38,332.54,328.135
07/23/2024,330.33,1994169,331.43,332.20,327.97
07/22/2024,331.51,3419315,330.72,332.82,329.7228
07/19/2024,329.19,5376237,331.09,335.79,327.7065
07/18/2024,328.10,4563719,329.41,336.25,327.84
07/17/2024,325.60,4383856,325.95,328.57,323.62
07/16/2024,325.00,3640693,318.38,325.15,318.03
07/15/2024,317.87,3866301,312.67,319.37,312.67
07/12/2024,310.63,3951627,299.59,312.02,299.03
07/11/2024,297.99,2988052,295.44,302.18,293.98
07/10/2024,295.44,2283455,296.90,298.00,290.5306
07/09/2024,298.06,2479254,299.09,299.15,294.4775
07/08/2024,299.47,2557914,300.46,301.95,295.6002
07/05/2024,299.14,3158944,304.91,305.70,297.68
07/03/2024,305.75,1751215,304.75,306.89,303.975
07/02/2024,303.83,2177192,300.93,304.00,300.93
07/01/2024,302.55,2411300,303.73,304.36,299.60
06/28/2024,303.41,14905690,303.54,305.545,301.65
06/27/2024,303.19,3162199,305.00,305.465,301.46
06/26/2024,304.62,3162079,299.92,305.74,299.43
06/25/2024,307.17,4498741,307.98,309.9997,305.43
06/24/2024,307.21,4399601,305.36,312.37,304.68
06/21/2024,308.98,8481762,307.03,310.35,302.58
06/20/2024,306.16,11374570,314.63,317.73,298.00
06/18/2024,285.35,5314911,285.31,289.91,284.39
06/17/2024,285.53,3559587,286.23,288.60,283.95
06/14/2024,286.71,2966211,281.41,286.95,280.71
06/13/2024,282.32,3119248,287.67,289.5471,282.09
06/12/2024,285.73,3749585,291.63,294.15,285.44
06/11/2024,294.22,2457624,290.12,294.31,288.79
06/10/2024,290.43,2510107,287.38,290.52,287.00
06/07/2024,288.40,2626974,291.44,291.81,288.15
06/06/2024,291.74,2363205,291.20,293.87,290.60
06/05/2024,291.02,3002215,288.26,292.31,288.06
06/04/2024,288.06,3498601,281.76,288.88,280.34
06/03/2024,281.76,3596609,286.35,287.52,280.71
05/31/2024,282.29,6882088,284.80,285.39,278.69
05/30/2024,284.80,5007994,289.97,290.50,284.29
05/29/2024,293.77,4479999,294.15,296.0996,291.01
05/28/2024,297.73,3530301,299.37,300.32,295.82
05/24/2024,300.99,2048661,306.89,307.46,300.335
05/23/2024,305.93,2526304,310.14,310.99,304.5601
05/22/2024,307.11,2432422,303.96,308.19,303.69
05/21/2024,303.64,1866555,306.79,307.15,302.96
05/20/2024,305.70,2418094,303.51,307.07,301.61
05/17/2024,303.59,4232001,309.74,310.00,300.01
05/16/2024,308.00,2583058,309.66,310.59,306.75
05/15/2024,308.52,4230864,305.00,308.52,301.44
05/14/2024,306.95,1813613,308.90,312.29,306.22
05/13/2024,307.41,1695055,308.15,308.80,306.88
05/10/2024,306.33,1786950,308.00,309.26,306.06
05/09/2024,306.61,3238246,307.00,308.205,302.92
05/08/2024,311.99,2296394,310.12,313.40,310.12
05/07/2024,310.66,2483629,307.90,312.145,307.6006
05/06/2024,306.06,2361453,305.17,306.79,303.27
05/03/2024,303.71,2767141,302.52,304.96,301.671
05/02/2024,300.34,2684185,300.76,303.33,298.27
05/01/2024,298.66,2617356,300.13,303.49,298.10
04/30/2024,300.91,5224952,302.00,303.01,299.68
04/29/2024,303.16,4719334,307.06,308.615,302.50
04/26/2024,308.01,3371848,309.41,309.49,307.27
04/25/2024,309.00,3638978,309.19,310.2439,305.35
04/24/2024,313.54,4133828,315.84,315.84,310.69
04/23/2024,316.83,2000291,318.48,319.81,316.49
04/22/2024,317.42,2433374,318.54,319.06,315.50
04/19/2024,316.88,3381612,317.86,318.55,314.60
04/18/2024,316.00,3025199,312.63,317.77,312.01
04/17/2024,314.54,2760011,316.87,317.02,312.61
04/16/2024,313.94,2900382,315.14,315.64,311.84
04/15/2024,313.27,2997919,316.05,321.60,312.18
04/12/2024,315.40,4207862,320.97,322.50,313.19
04/11/2024,325.19,2204402,326.05,327.00,323.26
04/10/2024,324.40,2156676,328.35,329.52,323.64
04/09/2024,334.45,2416637,333.65,334.87,329.82
04/08/2024,331.80,2431946,334.03,335.00,331.68
04/05/2024,333.00,3694783,331.53,333.82,330.33
04/04/2024,330.47,2272998,334.12,337.99,330.17
04/03/2024,332.28,1975675,336.24,337.19,331.89
04/02/2024,336.46,2453410,336.67,338.88,333.00
04/01/2024,339.17,2320290,344.86,345.00,338.065
03/28/2024,346.61,3614949,341.42,346.98,340.84
03/27/2024,340.94,3295226,337.88,342.36,337.88
03/26/2024,336.39,3006558,335.14,337.84,334.34
03/25/2024,333.82,5320123,336.01,336.01,329.69
03/22/2024,337.50,5899597,350.33,350.47,335.79
03/21/2024,345.03,9574841,363.99,369.03,342.28
03/20/2024,380.44,2877633,378.03,381.27,375.20
03/19/2024,378.08,2062912,373.49,378.33,371.025
03/18/2024,372.67,2164355,378.76,378.935,372.18
03/15/2024,374.60,3865405,368.79,375.14,366.87
03/14/2024,378.21,1706827,380.98,381.49,376.56
03/13/2024,378.72,1635918,379.50,381.18,377.71
03/12/2024,380.48,1793731,375.00,382.42,374.85
03/11/2024,373.22,2220098,374.38,375.56,367.07
03/08/2024,378.17,1641160,386.69,387.5055,377.73
03/07/2024,386.91,1564463,384.65,387.51,383.70
03/06/2024,380.83,1451235,380.00,383.06,377.80
03/05/2024,376.88,1539453,381.54,384.16,373.96
03/04/2024,383.71,1642957,382.31,386.98,381.61
03/01/2024,380.99,2110504,375.80,382.00,375.80
02/29/2024,374.78,3329518,380.40,380.40,374.15
02/28/2024,378.03,1264183,378.24,379.49,375.2056
02/27/2024,377.91,1083367,377.00,379.75,374.90
02/26/2024,377.48,1454956,376.86,380.30,376.86
02/23/2024,377.32,1614704,373.99,377.97,372.825
02/22/2024,371.31,1614699,369.72,372.19,368.40
02/21/2024,360.91,1758019,360.34,362.38,358.97
02/20/2024,362.95,1631068,369.88,370.0001,361.44
02/16/2024,369.48,2410212,372.30,373.43,368.345
02/15/2024,371.51,2358868,372.59,374.56,370.14
02/14/2024,370.98,2114618,366.24,371.19,366.24
02/13/2024,362.81,1697041,361.41,365.76,360.00
02/12/2024,367.43,1325023,369.49,370.40,366.18
02/09/2024,371.67,1482651,369.25,372.48,367.95
02/08/2024,368.48,1680009,367.68,369.47,366.915
02/07/2024,366.65,2531941,365.00,369.92,364.115
02/06/2024,364.70,4012319,370.52,371.71,362.40
02/05/2024,370.34,1787377,372.50,374.00,369.07
02/02/2024,372.95,1590488,372.19,374.81,369.48
02/01/2024,370.91,1500135,364.00,371.2125,363.45
01/31/2024,363.88,2320257,371.00,372.72,363.4434
01/30/2024,371.30,1849667,374.00,375.245,370.98
01/29/2024,373.35,1683157,370.52,375.425,370.08
01/26/2024,371.07,1404798,371.92,374.14,369.81
01/25/2024,371.94,2227478,372.38,375.73,370.12
01/24/2024,368.90,2250111,371.00,372.24,367.8292
01/23/2024,369.86,1693134,367.36,370.00,365.64
01/22/2024,367.21,2302481,364.00,368.65,363.50
01/19/2024,363.90,2506516,361.53,364.82,360.12
01/18/2024,359.55,2064213,356.02,359.78,355.165
01/17/2024,353.65,1917067,351.81,357.33,351.81
01/16/2024,354.56,2097583,352.365,356.48,351.11
01/12/2024,356.33,2406024,350.00,357.655,348.71
01/11/2024,347.97,1785867,343.50,348.43,343.05
01/10/2024,345.33,1569142,344.58,345.63,342.78
01/09/2024,342.75,1625934,339.27,342.76,338.03
01/08/2024,340.35,1909518,335.00,340.47,335.00
01/05/2024,336.62,1510825,338.00,339.75,335.54
01/04/2024,337.09,2750560,337.92,339.80,336.53
01/03/2024,337.92,3061007,342.53,343.77,337.53
01/02/2024,346.92,2319486,348.19,350.30,345.29
12/29/2023,350.91,1233533,351.79,352.91,349.43
12/28/2023,351.59,1300785,354.14,354.50,351.25
12/27/2023,353.82,1309685,354.50,355.38,351.63
12/26/2023,353.43,1535731,354.14,354.93,351.51
12/22/2023,354.45,2313932,350.00,354.82,347.91
12/21/2023,348.75,3304279,340.17,349.50,340.17
12/20/2023,339.50,3406235,345.56,346.63,339.21
12/19/2023,341.51,3252761,332.73,344.80,332.02
12/18/2023,341.85,3208034,342.66,343.98,340.64
12/15/2023,344.15,3880254,338.435,346.96,336.2543
12/14/2023,342.73,2551254,342.74,345.39,340.74
12/13/2023,343.64,2460977,343.40,345.20,339.87
12/12/2023,343.22,1935316,341.93,343.25,341.20
12/11/2023,342.31,1814187,335.21,342.39,335.20
12/08/2023,337.23,1274525,335.10,337.713,334.56
12/07/2023,335.10,1870287,336.56,336.56,334.22
12/06/2023,335.41,1502095,337.77,339.46,334.98
12/05/2023,335.83,1516541,334.63,337.33,333.31
12/04/2023,336.43,2349476,335.19,338.81,334.17
12/01/2023,338.06,1688780,333.80,338.50,333.16
11/30/2023,333.14,4298156,334.20,335.00,332.155
11/29/2023,333.34,1307290,335.00,335.80,332.78
11/28/2023,332.56,1377838,331.60,333.19,329.99
11/27/2023,332.43,1586934,333.82,334.4299,332.1901
11/24/2023,334.04,708478,333.15,334.9018,332.09
11/22/2023,333.13,1425832,334.24,335.53,332.8137
11/21/2023,330.26,1602893,331.30,332.44,328.76
11/20/2023,330.90,1414009,326.46,332.05,326.22
11/17/2023,327.83,1561514,327.66,328.93,326.22
11/16/2023,327.32,2142100,327.10,329.67,326.08
11/15/2023,325.50,2347075,319.62,325.72,318.74
11/14/2023,320.49,1823672,319.82,322.19,318.835
11/13/2023,315.63,1448659,316.01,316.96,314.31
11/10/2023,319.69,1433611,315.54,320.2673,314.756
11/09/2023,314.22,1574926,317.28,317.39,313.45
11/08/2023,317.82,1815036,316.87,319.465,315.38
11/07/2023,315.19,1860440,313.00,318.37,312.705
11/06/2023,313.09,1426201,312.32,314.18,311.04
11/03/2023,313.49,2145718,309.64,316.725,309.01
11/02/2023,308.12,2152782,303.67,308.88,301.30
11/01/2023,300.64,1972950,298.17,302.18,298.17
10/31/2023,297.09,1953516,293.08,297.28,293.08
10/30/2023,292.70,1843483,291.74,293.82,289.66
10/27/2023,290.04,1480336,291.93,293.04,288.46
10/26/2023,292.04,2692699,293.81,295.899,290.37
10/25/2023,292.68,2174965,293.53,295.50,291.12
10/24/2023,296.09,1849251,296.27,298.00,294.0517
10/23/2023,294.94,1314920,295.00,298.49,294.70
10/20/2023,297.00,2385700,302.38,302.92,295.93
10/19/2023,302.94,1384711,304.93,307.00,301.58
10/18/2023,303.77,1373838,306.72,309.37,303.31
10/17/2023,308.25,1576176,302.78,309.83,302.4182
10/16/2023,305.34,1491578,304.02,307.835,301.95
10/13/2023,301.83,1672526,302.30,306.00,300.095
10/12/2023,304.36,2295483,311.79,311.79,304.21
10/11/2023,312.54,1297987,312.32,314.75,309.95
10/10/2023,312.32,1904617,313.36,315.4275,311.56
10/09/2023,312.01,1407636,309.82,313.09,308.36
10/06/2023,312.19,2441469,308.28,315.11,306.72
10/05/2023,309.66,2095480,308.81,310.41,305.37
10/04/2023,309.39,2153862,310.74,311.00,306.87
10/03/2023,306.23,2454880,307.06,311.55,305.55
10/02/2023,308.26,2063302,307.57,308.46,305.11
09/29/2023,307.11,3171682,304.35,309.30,302.87
09/28/2023,300.77,4326789,301.75,306.69,294.49
09/27/2023,314.38,2435563,312.21,314.98,310.65
09/26/2023,310.61,2343657,312.72,314.49,308.73
09/25/2023,316.99,2054716,315.56,318.68,314.88
09/22/2023,316.09,1994391,314.04,318.66,312.93
09/21/2023,312.00,1911647,314.33,316.52,311.67
09/20/2023,316.80,1693189,318.75,323.32,316.45
09/19/2023,317.33,1898803,311.10,317.78,311.00
09/18/2023,315.88,1350743,312.00,316.75,311.00
09/15/2023,312.53,3339266,316.23,316.69,311.46
09/14/2023,316.59,1903982,315.63,316.99,313.30
09/13/2023,313.91,2496302,314.23,316.71,312.92
09/12/2023,314.89,3205096,321.45,322.49,313.11
09/11/2023,325.87,1551265,327.49,328.23,324.49
09/08/2023,325.47,1416840,329.53,330.435,324.53
09/07/2023,328.20,1533029,323.90,329.04,323.23
09/06/2023,326.30,1247868,324.25,327.735,323.71
09/05/2023,326.16,1736641,327.74,328.88,324.48
09/01/2023,327.74,1732719,326.05,328.72,325.10
08/31/2023,323.77,1986297,324.87,326.23,323.71
08/30/2023,323.25,1470407,323.81,323.92,321.51
08/29/2023,323.45,1524980,320.39,324.37,319.56
08/28/2023,320.91,1236449,318.76,322.24,318.735
08/25/2023,318.76,1451550,316.67,319.739,314.16
08/24/2023,314.14,2077501,316.40,317.85,313.64
08/23/2023,315.34,1486190,310.00,316.685,309.25
08/22/2023,308.90,1139728,309.60,310.93,307.87
08/21/2023,306.51,1072382,304.22,307.29,303.04
08/18/2023,302.94,1997131,302.84,304.84,301.31
08/17/2023,305.64,1653682,308.34,309.2063,304.77
08/16/2023,307.64,1212521,305.55,310.40,305.26
08/15/2023,307.40,1256124,310.85,311.50,306.50
08/14/2023,311.71,1334368,308.04,312.47,307.76
08/11/2023,309.05,1351392,307.97,310.50,306.1273
08/10/2023,310.41,1862369,311.50,314.82,308.87
08/09/2023,311.53,1504532,314.58,315.19,310.21
08/08/2023,315.15,1550322,312.93,315.30,309.62
08/07/2023,315.87,1530766,314.09,316.13,312.05
08/04/2023,312.00,2140628,315.58,317.88,311.245
08/03/2023,317.13,1355857,316.08,318.36,314.145
08/02/2023,317.78,1799728,317.54,320.92,316.69
08/01/2023,320.97,1913805,315.44,321.38,314.246
07/31/2023,316.35,1351382,315.00,318.38,315.00
07/28/2023,315.55,1920960,319.73,322.15,313.97
07/27/2023,318.82,2981192,320.00,323.56,317.95
07/26/2023,316.51,1512505,316.39,318.5642,314.38
07/25/2023,317.59,2163931,313.47,319.395,313.025
07/24/2023,313.29,1341629,314.61,316.855,312.68
07/21/2023,314.80,3265855,313.19,316.49,312.55
07/20/2023,312.47,2097081,316.25,316.25,310.72
07/19/2023,318.80,2170906,323.00,324.19,318.70
07/18/2023,322.43,1574476,319.52,322.74,319.40
07/17/2023,319.78,2033441,315.68,320.73,315.01
07/14/2023,315.77,1295528,316.07,317.885,315.01
07/13/2023,315.21,1822771,315.00,316.485,314.28
07/12/2023,313.88,1788271,312.34,314.68,310.75
07/11/2023,309.72,1347752,308.45,310.80,305.825
07/10/2023,308.45,1684492,305.21,309.11,304.12
07/07/2023,305.76,1902932,306.73,311.26,305.28
07/06/2023,307.97,1375813,306.92,308.45,304.65
07/05/2023,309.90,1924837,306.14,311.975,305.03
07/03/2023,310.97,1172814,308.00,311.27,307.41
06/30/2023,308.58,2668489,309.49,312.69,308.33
06/29/2023,308.33,2739388,301.40,310.57,300.10
06/28/2023,301.72,2061700,300.48,302.155,297.78
06/27/2023,300.81,2054196,297.12,301.03,296.11
06/26/2023,297.41,2826982,296.59,300.855,296.51
06/23/2023,298.43,4233954,300.02,302.685,297.70
06/22/2023,307.25,4889312,298.21,307.57,296.00
06/21/2023,313.20,3121416,316.49,317.67,313.09
06/20/2023,317.40,3349665,317.26,320.635,315.0114
06/16/2023,319.54,5266481,325.92,327.93,319.09
06/15/2023,323.77,3288910,319.18,325.08,315.34
06/14/2023,315.05,2421079,316.02,318.36,313.30
06/13/2023,315.16,3982005,315.32,317.4699,313.39
06/12/2023,311.48,2642413,307.83,311.85,307.54
06/09/2023,308.72,2202650,309.13,311.17,306.64
06/08/2023,307.33,1870305,310.87,310.87,306.71
06/07/2023,311.03,2489960,309.48,312.00,307.16
06/06/2023,308.04,2419382,302.88,309.31,301.76
06/05/2023,304.45,3008075,305.34,307.40,301.89
06/02/2023,311.39,2272721,307.50,312.20,306.62
06/01/2023,305.20,2393706,305.73,306.09,300.09
05/31/2023,305.92,5270111,304.68,310.35,303.00
05/30/2023,308.43,6238555,306.21,318.91,305.00
05/26/2023,303.60,4578873,294.00,308.60,293.64
05/25/2023,291.76,3689628,288.51,293.15,285.18
05/24/2023,286.82,2815328,286.03,288.29,284.90
05/23/2023,288.10,2219844,289.16,291.04,287.115
05/22/2023,290.95,2044094,289.37,291.77,288.87
05/19/2023,289.91,2213296,288.60,291.35,287.35
05/18/2023,287.48,1869905,284.54,287.92,284.26
05/17/2023,284.63,2486572,281.19,286.37,280.23
05/16/2023,279.19,2079192,277.09,280.70,276.36
05/15/2023,277.51,2762682,276.31,278.53,274.62
05/12/2023,277.19,2664437,273.13,277.30,272.50
