Date,Close,Volume,Open,High,Low
11/06/2024,57.87,20506040,57.189,58.085,56.955
11/05/2024,56.16,10183610,55.90,56.27,55.50
11/04/2024,55.83,13269890,55.45,55.91,55.12
11/01/2024,55.50,19235610,54.74,55.81,54.53
10/31/2024,54.77,22023370,55.43,55.51,54.705
10/30/2024,55.59,13284260,55.57,56.04,55.37
10/29/2024,55.68,18810080,55.37,56.105,55.27
10/28/2024,55.28,12912310,55.90,55.98,55.21
10/25/2024,55.74,14680470,56.25,56.6253,55.6656
10/24/2024,55.96,14699590,56.375,56.55,55.81
10/23/2024,56.28,18722970,56.16,56.59,55.99
10/22/2024,56.60,14956300,56.00,56.90,55.86
10/21/2024,56.59,14083610,56.69,57.055,56.51
10/18/2024,56.76,17679840,56.41,56.87,56.21
10/17/2024,56.40,18383350,56.375,56.575,55.85
10/16/2024,56.38,32382280,55.00,56.41,54.83
10/15/2024,54.08,20066280,54.42,54.61,53.92
10/14/2024,54.27,11428690,54.31,54.405,53.79
10/11/2024,54.25,12704530,53.52,54.33,53.52
10/10/2024,53.54,9377463,53.70,53.81,53.42
10/09/2024,53.56,10586120,52.65,53.675,52.54
10/08/2024,52.73,12365170,52.64,52.77,52.195
10/07/2024,52.51,10941700,52.58,52.85,52.37
10/04/2024,52.75,11728610,52.80,52.91,52.41
10/03/2024,52.43,11029130,52.19,52.66,52.16
10/02/2024,52.62,11071270,52.395,52.835,52.1301
10/01/2024,52.74,16621840,53.11,53.20,52.31
09/30/2024,53.22,17807630,53.02,53.31,52.645
09/27/2024,53.02,13868340,53.04,53.217,52.86
09/26/2024,52.85,18374000,53.00,53.29,52.76
09/25/2024,52.65,22422190,52.57,52.73,52.365
09/24/2024,52.52,26479290,52.21,52.57,52.005
09/23/2024,52.19,18343360,52.06,52.44,51.89
09/20/2024,51.97,44096640,51.45,52.33,51.415
09/19/2024,51.44,16273990,51.41,51.715,51.145
09/18/2024,50.57,12697700,50.39,51.14,50.27
09/17/2024,50.61,13230270,51.02,51.415,50.57
09/16/2024,51.03,16668240,49.88,51.07,49.78
09/13/2024,49.80,10168930,49.74,50.055,49.67
09/12/2024,49.61,13236850,49.09,49.64,48.86
09/11/2024,49.11,15106550,48.75,49.21,47.8501
09/10/2024,48.79,11754940,48.79,48.97,48.44
09/09/2024,48.70,18677580,48.47,49.15,48.26
09/06/2024,48.50,21040500,48.87,49.23,48.20
09/05/2024,49.13,16311960,49.50,49.645,48.935
09/04/2024,49.70,16411750,49.82,50.04,49.58
09/03/2024,50.06,14918580,50.31,50.50,49.90
08/30/2024,50.54,15615760,50.55,50.685,50.07
08/29/2024,50.39,16324070,49.97,50.82,49.88
08/28/2024,49.85,14571380,50.45,50.57,49.41
08/27/2024,50.71,10243880,50.67,50.84,50.40
08/26/2024,50.79,12016800,50.79,51.015,50.7242
08/23/2024,50.74,16474070,50.51,50.77,50.32
08/22/2024,50.22,19143130,50.715,50.93,50.18
08/21/2024,50.45,21177600,50.29,50.55,50.03
08/20/2024,50.24,18697260,49.98,50.37,49.595
08/19/2024,49.98,16436580,49.33,49.99,49.30
08/16/2024,49.46,27424890,48.64,49.73,48.50
08/15/2024,48.53,45976380,48.75,50.28,48.1615
08/14/2024,45.44,30675620,45.14,45.74,45.04
08/13/2024,45.37,20976920,44.98,45.385,44.89
08/12/2024,44.86,20289550,45.53,45.74,44.50
08/09/2024,45.47,21217650,45.70,46.055,45.24
08/08/2024,45.83,18369100,45.28,46.265,45.28
08/07/2024,45.12,18301130,45.42,46.21,45.09
08/06/2024,45.16,20524010,44.75,45.74,44.64
08/05/2024,44.74,29669600,46.55,46.68,44.6943
08/02/2024,46.66,24000150,47.68,47.75,46.35
08/01/2024,47.39,18837520,48.62,48.72,47.20
07/31/2024,48.45,19953600,48.41,48.77,48.24
07/30/2024,48.14,20165990,48.19,48.55,47.89
07/29/2024,47.99,11475670,47.82,48.21,47.44
07/26/2024,47.88,16104860,47.32,48.01,47.24
