Date,Close,Volume,Open,High,Low
11/07/2024,137.87,6297479,138.945,139.4158,136.02
11/06/2024,138.35,8857948,137.39,139.60,134.32
11/05/2024,133.46,6998599,131.00,134.28,129.75
11/04/2024,129.85,10608790,132.82,135.71,129.70
11/01/2024,130.87,13048450,124.625,132.62,124.30
10/31/2024,123.63,7312424,127.00,127.585,122.59
10/30/2024,129.40,17073700,130.99,133.9699,125.44
10/29/2024,121.63,3909752,120.68,122.54,120.10
10/28/2024,120.66,3582942,123.00,123.61,120.55
10/25/2024,122.55,4040156,121.90,124.79,121.75
10/24/2024,120.57,3638107,120.61,121.39,119.36
10/23/2024,119.49,4558926,118.97,121.56,117.82
10/22/2024,120.40,7093039,124.10,124.30,119.35
10/21/2024,125.66,4405016,126.50,126.98,125.17
10/18/2024,126.46,5491711,129.20,129.58,125.20
10/17/2024,129.18,5603585,129.10,131.60,128.00
10/16/2024,126.73,3833057,126.89,127.51,124.80
10/15/2024,125.83,6016641,128.84,131.13,125.66
10/14/2024,128.35,5932985,129.00,130.26,127.40
10/11/2024,127.73,7811938,124.00,128.30,123.5013
10/10/2024,124.80,5947184,121.46,124.86,121.20
10/09/2024,122.34,5979890,121.63,123.13,120.50
10/08/2024,121.93,5681505,119.40,121.94,118.70
10/07/2024,119.09,5208144,119.68,120.85,118.18
10/04/2024,120.42,8185053,117.50,120.84,117.0601
10/03/2024,115.67,6872528,114.02,116.75,113.62
10/02/2024,113.46,6047118,112.97,116.56,112.12
10/01/2024,113.16,9641850,117.39,117.78,112.91
09/30/2024,118.54,8647750,119.00,119.9631,116.95
09/27/2024,120.22,13544970,124.00,124.41,120.07
09/26/2024,126.49,13420520,122.375,127.00,121.39
09/25/2024,120.17,8534983,117.27,120.24,117.07
09/24/2024,117.31,6851833,118.17,118.44,116.00
09/23/2024,117.57,8067756,117.55,118.10,116.58
09/20/2024,117.50,75332830,116.50,119.05,115.08
09/19/2024,117.77,10630520,120.07,120.07,117.36
09/18/2024,115.99,10783560,117.58,119.62,115.94
09/17/2024,116.82,9412731,117.71,118.31,115.04
09/16/2024,115.40,8618921,112.38,115.80,112.225
09/13/2024,114.30,7353335,112.18,114.65,111.395
09/12/2024,112.15,9908506,108.70,113.23,108.60
09/11/2024,108.80,9715098,107.15,108.90,105.55
09/10/2024,106.64,9367424,106.15,107.53,105.42
09/09/2024,105.89,18742650,107.35,107.65,105.10
09/06/2024,102.00,11962620,106.52,108.21,101.41
09/05/2024,107.16,9362447,107.00,108.30,105.13
09/04/2024,109.06,8113585,109.00,110.55,107.3101
09/03/2024,110.77,14158990,114.88,116.69,109.1204
08/30/2024,115.54,33433630,115.36,117.72,110.65
08/29/2024,110.74,23836600,108.28,114.44,108.10
08/28/2024,111.56,9527976,110.30,112.07,108.21
08/27/2024,111.86,6271647,110.33,112.37,109.71
08/26/2024,111.67,7307783,112.01,114.15,110.35
08/23/2024,112.01,6023382,110.35,112.66,110.0701
08/22/2024,108.98,7018286,112.55,114.02,108.67
08/21/2024,111.70,6714402,110.85,111.90,108.86
08/20/2024,110.71,6189043,111.75,112.48,109.56
08/19/2024,111.87,8374892,111.00,112.0625,108.38
08/16/2024,111.30,11632610,108.90,112.16,108.06
08/15/2024,110.21,17713180,107.06,110.96,105.41
08/14/2024,102.95,12141040,101.06,104.37,100.31
08/13/2024,99.94,14928420,97.10,101.49,96.57
08/12/2024,95.27,9875263,92.20,97.90,91.835
08/09/2024,92.55,8405010,89.48,93.43,88.57
08/08/2024,91.46,10242830,89.77,91.70,88.45
08/07/2024,87.89,21545500,90.37,93.03,86.93
08/06/2024,94.67,15500550,98.66,99.27,93.34
08/05/2024,98.18,13137820,90.48,99.89,90.13
08/02/2024,102.29,11832730,101.70,103.80,99.93
08/01/2024,108.43,8570016,112.93,115.21,107.53
07/31/2024,113.68,11327260,114.76,116.60,112.20
07/30/2024,108.61,11938440,112.31,113.25,105.77
07/29/2024,111.20,7552248,114.36,115.50,110.95
07/26/2024,113.56,8419931,114.25,114.7199,111.5501
07/25/2024,111.43,17363730,116.00,116.00,110.33
07/24/2024,116.12,15611380,123.53,123.53,115.89
07/23/2024,125.85,5944621,126.95,128.15,125.35
07/22/2024,128.74,6255215,128.17,129.87,127.08
07/19/2024,125.79,6932821,125.41,127.88,124.27
07/18/2024,125.34,9659432,126.63,126.94,122.03
07/17/2024,125.17,18887630,128.14,129.77,124.67
07/16/2024,134.26,10254530,137.64,137.73,132.39
07/15/2024,137.22,8064648,140.75,141.09,136.52
07/12/2024,139.57,7376405,139.60,141.54,137.5001
07/11/2024,140.72,8248942,145.56,146.4499,139.42
07/10/2024,145.77,7387342,146.29,147.23,141.83
07/09/2024,145.74,11414730,146.06,150.23,143.8332
07/08/2024,145.97,12355620,140.00,147.1237,139.20
07/05/2024,138.96,8901174,142.20,142.76,138.31
07/03/2024,142.67,13173320,147.6893,149.47,140.5914
07/02/2024,143.47,7748248,140.22,143.54,139.92
07/01/2024,142.82,11565660,137.48,144.6872,133.63
06/28/2024,137.91,20573570,139.53,141.77,136.21
06/27/2024,139.43,9483004,137.83,141.8299,137.60
06/26/2024,138.24,12714060,138.52,141.31,135.09
06/25/2024,140.35,8466362,139.315,141.75,137.61
06/24/2024,137.56,14014980,143.305,143.56,137.56
06/21/2024,145.06,16788890,145.78,147.19,140.64
06/20/2024,148.52,39976430,156.625,161.5192,145.02
06/18/2024,149.15,33500100,143.58,154.14,143.30
06/17/2024,142.03,26911430,137.13,144.74,137.03
06/14/2024,134.98,12995280,133.37,135.53,131.29
06/13/2024,135.02,16066820,131.99,136.19,131.80
06/12/2024,131.81,11427930,132.83,132.94,130.10
06/11/2024,131.64,9176373,131.50,134.85,130.02
06/10/2024,132.45,14011900,129.00,135.46,128.40
06/07/2024,129.97,19597620,131.50,134.06,127.59
06/06/2024,133.96,13929140,136.25,136.70,132.1548
06/05/2024,137.66,19148570,135.95,139.40,132.95
06/04/2024,135.76,21568420,132.20,138.98,131.88
06/03/2024,132.03,41199160,140.55,140.74,128.60
05/31/2024,139.56,67192830,143.80,144.80,131.01
05/30/2024,169.92,44465960,178.80,178.84,165.11
05/29/2024,179.21,23215890,165.56,179.70,164.30
05/28/2024,166.08,18692640,168.43,169.69,161.01
05/24/2024,160.18,17563660,156.02,166.77,154.61
05/23/2024,153.57,16843130,158.99,162.71,150.13
05/22/2024,147.78,4708365,147.91,148.99,145.865
05/21/2024,147.24,6665689,145.05,149.90,144.00
05/20/2024,145.45,10586920,150.90,154.59,145.02
05/17/2024,149.52,9893472,148.63,150.2809,145.88
05/16/2024,146.30,9411534,150.50,150.84,143.50
05/15/2024,149.16,16982540,139.90,150.28,138.66
05/14/2024,134.12,4175759,129.49,134.69,128.60
05/13/2024,131.01,4105780,133.30,134.90,130.68
05/10/2024,132.77,4536936,133.93,134.60,131.42
05/09/2024,131.68,6675427,131.17,132.4199,129.27
05/08/2024,131.61,4921451,127.16,131.88,126.00
05/07/2024,127.55,3247051,128.22,129.70,126.25
05/06/2024,129.33,5025217,125.00,129.3915,124.2511
05/03/2024,125.10,3942765,125.49,127.5899,124.71
05/02/2024,123.39,4856908,121.64,123.91,118.363
05/01/2024,118.78,7204532,122.91,124.16,117.43
04/30/2024,124.64,5054483,126.25,126.99,123.8401
04/29/2024,127.70,5004467,125.20,127.73,123.2701
04/26/2024,125.06,5512196,125.62,126.55,123.04
04/25/2024,124.91,6822999,118.33,125.28,117.00
04/24/2024,120.20,5815884,126.01,126.01,119.31
04/23/2024,120.63,5086925,116.38,121.0793,115.70
04/22/2024,115.54,5410000,115.00,118.34,114.25
04/19/2024,114.87,9440014,116.36,119.18,114.30
04/18/2024,118.37,5053748,119.61,119.65,115.51
04/17/2024,119.62,5346021,122.62,123.67,118.31
04/16/2024,121.08,7596734,116.66,121.74,115.68
04/15/2024,117.81,6764095,119.00,122.50,117.27
04/12/2024,117.76,7501738,121.49,122.35,117.61
04/11/2024,124.04,5058307,123.61,125.78,123.14
04/10/2024,123.37,5944974,121.19,126.07,121.10
04/09/2024,123.73,9993308,126.43,126.75,120.45
04/08/2024,127.15,11952250,132.95,133.4399,125.56
04/05/2024,132.72,10813490,128.00,132.92,123.51
04/04/2024,127.16,19494760,129.85,136.16,126.675
04/03/2024,128.58,19390810,117.79,129.76,117.66
04/02/2024,118.44,5503125,117.39,118.79,115.31
04/01/2024,119.64,8064085,114.25,119.71,114.25
03/28/2024,114.11,4153353,112.25,114.45,111.89
03/27/2024,111.68,4375982,114.01,115.23,110.93
03/26/2024,114.65,7389230,113.35,116.85,113.25
03/25/2024,113.00,6152280,111.27,114.81,110.312
03/22/2024,112.24,4711422,112.905,113.80,111.79
03/21/2024,114.04,11678010,113.18,115.77,112.25
03/20/2024,111.07,9600219,107.91,111.33,106.06
03/19/2024,107.52,7971732,107.02,108.88,105.045
03/18/2024,106.63,7403774,106.99,107.87,104.66
03/15/2024,107.00,9159679,107.044,108.98,105.64
03/14/2024,106.45,8069808,110.70,111.41,105.00
03/13/2024,110.00,7161959,113.50,114.33,109.33
03/12/2024,113.55,6569996,117.30,118.29,113.40
03/11/2024,115.86,5936758,115.48,116.8308,113.63
03/08/2024,116.25,11015230,120.29,120.77,114.945
03/07/2024,120.50,9644266,120.00,122.02,119.31
03/06/2024,118.50,10569120,119.445,120.56,116.96
03/05/2024,117.75,15019170,120.75,121.52,113.89
03/04/2024,121.78,23835960,123.95,129.05,120.80
03/01/2024,124.59,62169010,124.67,131.06,116.45
02/29/2024,94.66,14317000,91.00,94.795,91.00
02/28/2024,93.25,5909825,92.10,94.37,91.2718
02/27/2024,91.56,5888086,93.00,93.48,90.73
02/26/2024,92.77,8175396,92.62,94.99,91.80
02/23/2024,90.35,6997290,89.055,92.68,88.00
02/22/2024,87.79,8284115,85.96,89.12,85.40
02/21/2024,81.39,3365285,81.29,81.81,80.49
02/20/2024,82.46,3111062,83.88,83.99,81.22
02/16/2024,84.21,4841750,83.30,85.32,82.79
02/15/2024,82.72,4418498,85.48,85.91,82.42
02/14/2024,86.04,2361315,85.06,86.23,84.72
02/13/2024,83.98,3144457,84.985,85.185,83.45
02/12/2024,86.62,2979121,86.50,86.89,85.83
02/09/2024,86.20,2315688,85.25,86.65,85.01
02/08/2024,84.80,2993875,83.61,85.14,83.51
02/07/2024,83.74,2964177,83.44,83.83,82.78
02/06/2024,82.68,5015052,85.73,85.99,82.16
02/05/2024,85.71,2204220,86.53,86.87,84.76
02/02/2024,86.32,3683936,85.63,86.90,85.22
02/01/2024,85.78,2729313,83.60,85.98,83.00
01/31/2024,82.88,3587173,83.28,83.59,81.8159
01/30/2024,84.80,3838911,85.72,86.45,84.32
01/29/2024,83.41,2710308,84.38,84.67,83.345
01/26/2024,84.22,2927466,82.51,84.38,82.1164
01/25/2024,83.04,2723305,84.495,85.04,83.01
01/24/2024,83.71,3637823,83.50,84.92,83.00
01/23/2024,82.43,2673329,81.00,82.47,80.54
01/22/2024,81.14,4248243,83.74,83.79,81.00
01/19/2024,83.19,9448917,79.12,84.755,79.12
01/18/2024,78.41,3076497,78.71,79.00,77.70
01/17/2024,77.66,4928394,78.50,78.80,76.90
01/16/2024,79.52,4348315,79.00,79.57,78.50
01/12/2024,79.31,4843533,79.94,80.27,79.19
01/11/2024,79.71,4024026,78.77,79.80,77.54
01/10/2024,78.25,3054735,77.83,78.76,77.68
01/09/2024,77.11,4849080,79.17,79.45,77.06
01/08/2024,79.36,6552446,78.00,79.67,77.36
01/05/2024,75.84,2951058,75.44,76.45,75.33
01/04/2024,75.97,3029462,76.67,77.13,75.84
01/03/2024,76.60,4194296,74.83,76.81,74.555
01/02/2024,74.79,2955102,75.45,76.00,74.32
12/29/2023,76.50,2293493,76.82,76.93,76.20
12/28/2023,76.68,1546653,77.00,77.18,76.65
12/27/2023,77.26,2050387,77.02,77.45,76.92
12/26/2023,77.00,3001170,75.99,77.2998,75.87
12/22/2023,75.71,4244001,75.68,76.15,75.05
12/21/2023,75.32,4381829,73.39,75.395,73.39
12/20/2023,72.42,4336856,73.54,74.28,72.31
12/19/2023,73.53,2684002,73.70,74.01,72.8567
12/18/2023,73.37,4810275,71.62,73.68,71.045
12/15/2023,71.62,5539384,72.02,72.985,71.39
12/14/2023,72.43,7684324,71.00,72.46,70.89
12/13/2023,69.87,4234223,69.99,70.48,69.265
12/12/2023,69.99,3436413,69.10,70.31,68.94
12/11/2023,69.24,3945464,68.59,69.76,68.49
12/08/2023,68.70,3003413,68.43,69.31,68.43
12/07/2023,68.59,5460703,67.57,68.81,67.57
12/06/2023,67.63,5260180,69.48,69.82,67.51
12/05/2023,69.29,4977393,69.21,70.32,69.11
12/04/2023,69.32,7444068,70.87,71.06,68.67
12/01/2023,71.93,14361160,71.86,73.059,68.50
11/30/2023,75.87,10519940,75.105,75.98,74.64
11/29/2023,75.06,5427845,74.45,76.09,74.415
11/28/2023,74.03,3126675,74.00,74.91,73.85
11/27/2023,74.46,3686196,74.32,75.13,73.34
11/24/2023,74.41,1695892,74.63,75.05,74.17
11/22/2023,74.68,3522211,74.25,75.38,74.01
11/21/2023,73.62,3737309,73.83,74.05,72.91
11/20/2023,73.36,3241972,73.89,74.02,73.11
11/17/2023,73.60,4052671,72.80,74.01,72.61
11/16/2023,72.54,4044292,72.80,73.08,71.81
11/15/2023,72.94,5266956,73.02,74.12,72.5101
11/14/2023,73.89,5171966,74.435,74.46,73.325
