Date,Close,Volume,Open,High,Low
11/06/2024,74.36,26410660,73.455,74.62,70.7412
11/05/2024,74.15,12274570,73.55,74.34,73.24
11/04/2024,73.25,14949150,72.75,74.22,72.66
11/01/2024,73.25,33542200,73.94,74.15,72.25
10/31/2024,72.05,64047080,74.50,74.99,69.87
10/30/2024,79.43,14997690,79.23,80.075,78.8201
10/29/2024,79.21,14469580,77.85,79.99,77.77
10/28/2024,77.69,9311857,78.20,78.38,77.47
10/25/2024,77.62,11727420,78.26,78.84,76.96
10/24/2024,78.38,15220860,78.005,78.60,77.14
10/23/2024,79.83,8689871,80.055,80.32,79.36
10/22/2024,80.41,10754050,80.47,81.25,79.98
10/21/2024,80.46,11238730,79.94,80.57,79.55
10/18/2024,79.16,14186720,80.53,80.55,78.80
10/17/2024,79.90,27373200,79.92,80.88,79.41
10/16/2024,81.90,12398520,82.93,83.48,81.62
10/15/2024,83.20,14858460,84.77,84.77,82.65
10/14/2024,84.94,14752430,85.64,86.18,84.18
10/11/2024,86.34,57290480,82.00,87.00,81.86
10/10/2024,77.92,15033630,77.65,78.24,76.90
10/09/2024,77.87,17251050,76.00,77.96,75.955
10/08/2024,76.17,17800250,75.25,77.02,75.06
10/07/2024,74.59,15328810,74.255,75.74,73.73
10/04/2024,74.28,10757710,74.11,74.32,73.22
10/03/2024,72.94,11096330,72.56,73.21,71.90
10/02/2024,72.87,11323370,74.09,74.31,72.79
10/01/2024,74.24,8980535,75.77,75.77,73.84
09/30/2024,75.16,12993590,75.32,75.72,74.255
09/27/2024,75.75,7580133,77.03,77.08,75.70
09/26/2024,76.69,14788550,78.36,78.45,75.13
09/25/2024,77.14,12552600,77.51,78.28,77.08
09/24/2024,77.44,16099210,76.00,77.51,75.97
09/23/2024,74.71,8285323,75.11,75.27,73.78
09/20/2024,73.94,17472690,74.82,75.05,73.4511
09/19/2024,75.28,17698450,74.98,76.46,74.56
09/18/2024,73.50,11720930,72.77,74.74,72.192
09/17/2024,72.78,14639820,71.97,73.73,71.31
09/16/2024,71.52,12016670,72.36,72.50,71.04
09/13/2024,72.48,30376490,72.40,72.755,70.94
09/12/2024,68.09,16381660,70.06,70.49,67.85
09/11/2024,70.11,14671860,68.83,70.22,67.12
09/10/2024,68.99,20227240,70.00,70.46,67.64
09/09/2024,69.80,8804605,70.95,71.19,69.6325
09/06/2024,69.58,11449830,71.13,72.02,68.729
09/05/2024,71.25,8890860,71.08,72.62,70.92
09/04/2024,71.56,7995815,71.52,72.69,71.30
09/03/2024,71.89,13053340,72.57,73.61,71.21
08/30/2024,73.13,12676940,72.89,73.4194,72.06
08/29/2024,72.24,9300785,72.50,73.28,72.13
08/28/2024,71.85,9529378,72.50,72.55,71.02
08/27/2024,72.56,7294117,72.49,73.09,71.80
08/26/2024,72.61,10999940,74.30,74.30,72.11
08/23/2024,74.30,13065550,72.85,74.455,72.35
08/22/2024,73.31,9571940,73.55,74.12,72.67
08/21/2024,73.48,9290198,73.72,74.29,73.06
08/20/2024,73.31,10246490,74.27,74.48,73.28
08/19/2024,74.18,13821270,72.00,74.22,71.795
08/16/2024,72.04,11548280,72.50,73.35,71.755
08/15/2024,72.73,13711340,72.51,73.42,72.29
08/14/2024,71.93,12336960,71.60,72.00,70.61
08/13/2024,71.06,15472550,69.77,71.19,69.38
08/12/2024,69.26,10826110,68.61,69.31,68.02
08/09/2024,68.54,12770320,69.14,69.38,67.75
08/08/2024,69.01,21779120,66.525,69.165,65.95
08/07/2024,65.54,31493570,65.56,68.40,65.49
08/06/2024,64.87,53336870,62.55,65.82,60.50
08/05/2024,58.48,32063690,55.53,58.65,54.84
08/02/2024,58.99,27654560,59.38,59.58,56.86
08/01/2024,61.02,18967940,64.86,65.00,60.76
07/31/2024,64.47,18209680,63.88,65.182,63.66
07/30/2024,63.09,16506190,64.15,64.77,62.61
07/29/2024,63.76,16907000,64.835,65.2554,63.72
07/26/2024,64.40,17379450,66.10,66.26,64.18
07/25/2024,65.74,22596920,66.00,69.37,64.40
07/24/2024,66.14,15187120,67.27,67.79,65.78
07/23/2024,67.52,9539770,68.05,69.10,67.28
07/22/2024,67.73,13407990,67.53,68.78,67.085
07/19/2024,67.31,12809590,66.78,67.44,66.10
07/18/2024,66.26,21988920,69.00,69.3413,65.81
07/17/2024,68.62,27884450,73.38,73.41,68.555
07/16/2024,74.30,17529000,73.11,75.40,73.11
07/15/2024,72.29,13472570,73.06,73.25,70.7605
07/12/2024,72.43,14683660,72.11,73.80,72.11
07/11/2024,73.53,26702460,69.51,73.645,68.85
07/10/2024,69.27,14638750,71.50,71.50,68.38
07/09/2024,71.32,8759653,71.40,72.28,71.13
07/08/2024,71.25,7231051,71.31,71.78,70.75
07/05/2024,71.06,6599189,70.99,71.4177,70.385
07/03/2024,71.30,7869781,70.66,72.14,70.50
07/02/2024,70.67,14318950,71.25,71.26,68.88
07/01/2024,71.10,13438730,72.20,72.58,69.40
06/28/2024,72.68,21375880,70.81,73.26,70.77
06/27/2024,70.34,9650481,70.98,71.32,70.07
06/26/2024,70.85,10232570,70.94,71.60,70.55
06/25/2024,71.38,18911560,71.86,72.94,70.22
06/24/2024,70.54,12479280,69.83,71.23,69.75
06/21/2024,70.21,20913320,70.04,70.25,69.23
06/20/2024,70.30,10662400,70.51,71.12,69.73
06/18/2024,70.33,9511579,70.60,71.21,69.89
06/17/2024,70.49,14760480,69.91,70.83,69.83
06/14/2024,70.06,11601130,70.91,71.00,69.32
06/13/2024,70.86,17109440,73.16,73.16,70.24
